Year,State,Population,Total Religous,Christianity,Islam,Hinduism,Buddhism,Noreligion,Syncretism,Judaism,Sikhism,Code,Continent,GDP per Capita
1960,Trinidad and Tobago,900000,837957,574696,49736,190403,0,23122,0,0,0,TTO,North America,631.706584701324
1960,Turkey,27506000,27495259,221480,27251539,0,0,277,0,21963,0,TUR,Asia,509.423963409495
1960,United Kingdom,52372000,52280166,47520102,417069,129867,15494,3650499,7761,424965,104871,GBR,Europe,1397.5948032844
1960,United States of America,180671000,179294703,150234347,0,0,2012131,21548225,0,5500000,0,USA,North America,3007.12344537862
1960,Uruguay,2538000,1986800,1986800,0,0,0,0,0,0,0,URY,South America,489.350724954753
1965,Afghanistan,12071000,11944448,6153,11825320,88171,3113,1506,0,308,2255,AFG,Asia,101.108325163758
1965,Algeria,11923000,11279838,484138,10770700,0,0,0,0,25000,0,DZA,Africa,249.883585607009
1965,Argentina,22283000,21936446,21420596,2500,0,5000,55000,0,437500,0,ARG,South America,1279.11377848123
1965,Australia,11388000,11383711,10696019,22884,3686,11340,569400,7183,57086,2464,AUS,Oceania,2281.09879668523
1965,Austria,7271000,7208597,6907450,0,0,0,290840,0,10307,0,AUT,Europe,1374.53213986075
1965,Belgium,9464000,9463787,9011675,0,0,0,417112,0,35000,0,BEL,Europe,1835.59476553194
1965,Benin,2162000,2156942,316746,270000,0,0,255,0,0,0,BEN,Africa,110.132584644972
1965,Bolivia,3748000,3541860,3541860,0,0,0,0,0,0,0,BOL,South America,149.640333206756
1965,Brazil,84292000,81022623,80576608,2500,0,140000,0,0,41666,0,BRA,South America,269.456289972728
1965,Burkina Faso,4566000,4549378,182639,1369800,0,0,283,0,0,0,BFA,Africa,81.7250523247925
1965,Burundi,3210000,3206312,2342275,28000,62,0,11,0,0,0,BDI,Africa,51.3818812578693
1965,Cambodia,6141000,6139971,71304,162793,173,5400075,174928,93153,0,0,KHM,Asia,134.304279643423
1965,Cameroon,5881000,5848339,2010728,782150,0,0,4544,0,0,0,CMR,Africa,141.00251500175
1965,Canada,19678000,19269427,17316559,0,0,790000,500000,0,286649,0,CAN,North America,2770.36180408145
1965,Central African Republic,1432000,1401723,648920,50000,0,0,1495,0,0,0,CAF,Africa,91.8303746529954
1965,Chad,3310000,3229640,538626,1800000,0,0,765,0,0,0,TCD,Africa,125.975478772857
1965,Chile,8579000,8040827,8040827,0,0,0,0,0,0,0,CHL,South America,670.395685818079
1965,China,729190976,713725260,3955200,11779439,12134,54287195,269303578,337111044,919,7416,CHN,Asia,98.4867777522206
1965,Colombia,17996000,17546120,17546120,0,0,0,0,0,0,0,COL,South America,307.646860038546
1965,Costa Rica,1272677,1236000,1236000,0,0,0,0,0,0,0,CRI,North America,372.280578054054
